taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
2643;2016-12-01;180;0.0;4.25;0.0;készpénz
4531;2016-12-01;540;0.0;7.25;0.0;készpénz
710;2016-12-01;360;0.0;6.25;0.0;készpénz
6065;2016-12-01;60;0.0;8.0;0.0;bankkártya
2118;2016-12-01;780;0.0;11.75;0.0;bankkártya
6535;2016-12-01;840;0.0;8.0;0.0;készpénz
5114;2016-12-01;420;0.0;6.0;2.0;bankkártya
5243;2016-12-01;480;0.0;6.75;0.0;készpénz
3449;2016-12-02;60;0.0;3.25;0.0;készpénz
4044;2016-12-02;960;0.0;11.0;0.0;készpénz
4611;2016-12-02;600;0.0;7.5;0.0;készpénz
2863;2016-12-02;360;0.0;6.75;1.0;bankkártya
569;2016-12-02;180;0.0;4.5;2.0;bankkártya
3773;2016-12-02;420;0.0;6.0;0.0;készpénz
6078;2016-12-02;540;0.0;7.0;2.0;bankkártya
6197;2016-12-02;60;0.0;3.25;0.0;készpénz
1026;2016-12-02;300;0.0;5.5;0.0;készpénz
7939;2016-12-02;300;0.0;5.75;0.0;készpénz
6562;2016-12-02;240;0.0;5.25;0.0;készpénz
1322;2016-12-02;600;0.0;8.0;2.0;bankkártya
1901;2016-12-02;60;0.0;3.25;0.0;készpénz
5400;2016-12-02;780;0.0;9.25;0.0;készpénz
4770;2016-12-03;900;0.0;14.25;0.0;készpénz
7011;2016-12-03;1260;0.0;13.75;0.0;készpénz
1827;2016-12-03;360;0.0;6.25;0.0;készpénz
8117;2016-12-03;420;0.0;6.5;1.0;bankkártya
3163;2016-12-03;420;0.0;10.25;0.0;készpénz
5857;2016-12-03;540;0.0;8.0;0.0;készpénz
6898;2016-12-03;1980;0.0;16.5;0.0;készpénz
8709;2016-12-03;180;0.0;5.25;0.0;készpénz
5628;2016-12-03;420;0.0;6.75;0.0;készpénz
2697;2016-12-03;180;0.0;4.0;0.0;készpénz
3793;2016-12-03;1200;0.0;13.75;0.0;készpénz
5659;2016-12-04;120;0.0;4.75;0.0;készpénz
1098;2016-12-04;600;0.0;9.5;0.0;készpénz
3360;2016-12-04;240;0.0;4.75;0.0;készpénz
1523;2016-12-04;300;0.0;3.5;0.0;készpénz
7748;2016-12-04;180;0.0;5.5;1.0;bankkártya
3637;2016-12-04;300;0.0;5.5;0.0;készpénz
686;2016-12-04;120;0.0;4.0;1.0;bankkártya
1319;2016-12-04;600;0.0;8.0;0.0;készpénz
1901;2016-12-05;240;0.0;4.75;0.0;készpénz
1030;2016-12-05;180;0.0;4.75;2.0;bankkártya
3721;2016-12-05;240;0.0;4.75;0.0;készpénz
8289;2016-12-05;780;0.0;12.25;0.0;ingyenes
5901;2016-12-05;660;0.0;13.75;3.4;bankkártya
2901;2016-12-06;1200;0.0;27.5;8.25;bankkártya
7596;2016-12-06;2520;0.0;50.25;12.45;bankkártya
772;2016-12-06;21;0.0;3.25;0.0;bankkártya
5796;2016-12-06;720;0.0;8.5;2.0;bankkártya
197;2016-12-06;840;0.0;9.0;0.0;készpénz
2330;2016-12-06;360;0.0;5.5;0.0;készpénz
3267;2016-12-06;420;0.0;6.25;2.0;bankkártya
4702;2016-12-06;360;0.0;6.25;1.0;bankkártya
2643;2016-12-07;3540;0.0;42.75;6.0;bankkártya
4849;2016-12-07;60;0.0;3.25;0.0;készpénz
5475;2016-12-07;240;0.0;5.25;0.0;készpénz
3684;2016-12-07;180;0.0;5.0;0.0;készpénz
4111;2016-12-07;1140;0.0;11.0;3.3;bankkártya
8044;2016-12-07;60;0.0;55.25;0.0;készpénz
4576;2016-12-07;240;0.0;5.75;3.0;bankkártya
4927;2016-12-07;960;0.0;10.25;3.05;bankkártya
1928;2016-12-07;120;0.0;3.75;0.0;készpénz
3465;2016-12-07;1020;0.0;11.0;2.2;bankkártya
3453;2016-12-07;60;0.0;3.25;0.0;készpénz
4702;2016-12-07;540;0.0;7.25;0.0;készpénz
5029;2016-12-08;660;0.0;7.0;0.0;készpénz
1750;2016-12-08;60;0.0;3.25;0.0;készpénz
6552;2016-12-08;1980;0.0;45.75;9.15;bankkártya
3588;2016-12-08;300;0.0;5.75;2.0;bankkártya
5426;2016-12-08;2640;0.0;42.75;9.35;bankkártya
4285;2016-12-08;480;0.0;6.5;1.0;bankkártya
2653;2016-12-08;20;0.0;3.25;0.0;készpénz
4675;2016-12-08;180;0.0;4.0;0.0;készpénz
7430;2016-12-08;7320;0.0;3.25;0.0;készpénz
29;2016-12-08;300;0.0;6.0;0.0;készpénz
5054;2016-12-08;480;0.0;7.5;0.0;készpénz
6353;2016-12-08;720;0.0;9.0;0.0;készpénz
8709;2016-12-08;420;0.0;6.0;2.0;bankkártya
2607;2016-12-08;660;0.0;8.0;0.0;készpénz
4954;2016-12-08;360;0.0;6.0;0.0;készpénz
4111;2016-12-08;480;0.0;6.5;2.0;bankkártya
3514;2016-12-09;600;0.0;10.75;0.0;készpénz
1901;2016-12-09;840;0.0;9.5;0.0;készpénz
50;2016-12-09;300;0.0;5.5;3.0;bankkártya
760;2016-12-09;720;0.0;19.0;0.0;készpénz
7066;2016-12-09;900;0.0;14.25;0.0;készpénz
3649;2016-12-09;1020;0.0;10.25;2.0;bankkártya
3433;2016-12-09;60;0.0;3.25;0.0;készpénz
4438;2016-12-09;540;0.0;7.75;0.0;készpénz
6458;2016-12-09;540;0.0;7.25;0.0;készpénz
4680;2016-12-09;480;0.0;6.25;0.0;készpénz
710;2016-12-09;540;0.0;10.25;0.0;készpénz
7517;2016-12-09;840;0.0;9.25;0.0;készpénz
7063;2016-12-09;420;0.0;6.5;0.0;készpénz
2612;2016-12-09;360;0.0;5.75;0.0;készpénz
1563;2016-12-09;780;0.0;12.75;0.0;készpénz
279;2016-12-09;300;0.0;5.25;2.0;bankkártya
5829;2016-12-09;360;0.0;5.25;0.0;készpénz
973;2016-12-10;60;0.0;3.5;0.0;készpénz
3514;2016-12-10;240;0.0;4.75;0.0;készpénz
7415;2016-12-10;780;0.0;10.0;0.0;készpénz
3612;2016-12-10;420;0.0;6.5;0.0;készpénz
1463;2016-12-10;300;0.0;5.25;0.0;készpénz
1322;2016-12-10;540;0.0;7.75;0.0;készpénz
7541;2016-12-10;300;0.0;5.5;0.0;készpénz
4106;2016-12-10;660;0.0;7.5;2.0;bankkártya
5812;2016-12-10;480;0.0;6.75;0.0;készpénz
2421;2016-12-11;60;0.0;3.75;0.0;készpénz
7528;2016-12-11;660;0.0;10.25;0.0;készpénz
5472;2016-12-11;360;0.0;6.75;1.0;bankkártya
625;2016-12-11;1500;0.0;45.25;13.55;bankkártya
686;2016-12-12;360;0.0;6.25;0.0;készpénz
7210;2016-12-12;540;0.0;7.5;2.0;bankkártya
376;2016-12-12;480;0.0;6.25;0.0;készpénz
4359;2016-12-13;780;0.0;7.5;0.0;készpénz
5114;2016-12-13;5100;0.0;48.75;6.0;bankkártya
4870;2016-12-13;120;0.0;3.75;0.0;készpénz
4770;2016-12-13;600;0.0;11.25;0.0;készpénz
4107;2016-12-13;180;0.0;5.0;0.0;készpénz
8648;2016-12-13;1020;0.0;11.0;1.0;bankkártya
8546;2016-12-13;540;0.0;6.25;0.0;készpénz
3862;2016-12-13;420;0.0;6.25;0.0;készpénz
2877;2016-12-13;600;0.0;8.0;0.0;készpénz
6317;2016-12-13;300;0.0;5.0;0.0;készpénz
7355;2016-12-13;300;0.0;5.75;0.0;készpénz
2175;2016-12-13;840;0.0;8.75;0.0;készpénz
505;2016-12-13;420;0.0;6.75;0.0;készpénz
5367;2016-12-13;1080;0.0;14.75;0.0;készpénz
7210;2016-12-13;720;0.0;8.0;0.0;készpénz
1152;2016-12-13;540;0.0;6.75;0.0;készpénz
6407;2016-12-13;480;0.0;7.25;2.0;bankkártya
2888;2016-12-13;1620;0.0;16.25;0.0;készpénz
6749;2016-12-14;360;0.0;6.0;0.0;készpénz
8661;2016-12-14;60;0.0;3.25;0.0;készpénz
8016;2016-12-14;1140;0.0;13.75;2.95;bankkártya
3040;2016-12-14;900;0.0;13.0;2.0;bankkártya
393;2016-12-14;600;0.0;7.25;0.0;készpénz
2041;2016-12-14;420;0.0;6.5;1.0;bankkártya
2918;2016-12-14;540;0.0;7.0;1.4;bankkártya
